,items_count,user_id,price
0,58,--000--,397.78000000000003
1,44,--ace--,166.82
2,23,--ionex--,99.92999999999999
3,68,-2SV-vuLB-Kg,427.5
4,149,-404PageNotFound-,1509.32
5,127,-AnimeIsMyThing-,1194.44
6,167,-Azsael-,2381.7
7,47,-Beave-,54.95
8,24,-Encore-,277.79
9,106,-GM-Dragon,822.47
10,20,-I_AM_EPIC-,129.94
11,26,-JT,224.87
12,118,-Kenny,1538.1399999999999
13,114,-KillZone-,1220.29
14,367,-Mad-,3645.21
15,62,-Naughty-,467.77
16,529,-PRoSlayeR-,2515.36
17,394,-SEVEN-,3523.31
18,28,-SatansLittleHelper-,323.78000000000003
19,43,-Thyme-,514.69
20,131,-Ultrix,1392.92
21,123,-Uplink-,1511.18
22,51,-Zovix-,224.87
23,51,-_PussyDestroyer_-,355.69
24,40,-_skIzZ_-,374.81
25,18,-fastrvrs-,195.89
26,15,-iBubble,127.88
27,69,-kainey9777,1022.54
28,49,-xKyox-,195.85
29,139,0-3-0,1639.9399999999998
30,93,00000000000000000001227,1037.3
31,59,00000003010,331.7
32,25,0000FF,144.91
33,30,000Infinity000,109.97
34,71,001000111000111000010,728.42
35,3,001002130882,14.99
36,48,001010001,320.82
37,34,0041287,144.92
38,24,00454211432342,137.88
39,231,005577,2911.27
40,102,00690069006900,796.36
41,373,0071945,4935.83
42,1,007Pro,0.0
43,178,007james_bond,2123.61
44,49,007thesilence,596.67
45,7,00810cccyyykkk,19.98
46,71,008port,418.67
47,23,0099654321891111,188.86
48,28,00True,302.86
49,9,00nana,29.98
50,88,01001000-01101001,1333.22
51,2,010195345,0.0
52,3,0102705195,0.0
53,28,010607,215.81
54,76,011000100001000111,771.56
55,26,011011010111001000101110,101.88
56,5,011111135489484797,29.979999999999997
57,29,01120477677,233.88
58,31,0112937783,429.81
59,159,01189958889189157253,1774.79
60,139,0118999881999119,1314.94
61,125,01221733,558.61
62,62,0136849195,128.92
63,11,01398279857934,14.99
64,42,018302,502.68
65,5,01shan,24.98
66,7,0212030,104.94999999999999
67,80,022899,1133.4
68,10,0248359,223.88
69,3,025652,0.0
70,62,0271975108,669.6899999999999
71,97,0305089,582.5600000000001
72,24,03092002,255.89
73,2,03375616256,9.99
74,6,0402593613,19.98
75,214,04061993,1014.31
76,128,04092013,592.1
77,98,041112016,1379.26
78,20,0412734634,59.96
79,27,0412827540,144.91
80,118,042153100,1522.23
81,31,0421874858,342.78999999999996
82,113,04280122,1185.4
83,14,0432-026-no,79.93
84,28,04536829290339393838,130.89
85,86,0468313256,99.88
86,22,0488456,249.86
87,35,05041129,138.89
88,53,05461025,555.6
89,159,05511301,1577.73
90,16,05zhehan,89.94999999999999
91,72,066600,468.8
92,48,0700464574757,383.71999999999997
93,92,07846813956825,1141.33
94,1,0800135723,0.0
95,48,0814551,171.89
96,11,0827777,0.99
97,1,0833422708,0.0
98,5,0854029092,19.99
99,23,0862770364,148.92000000000002
100,184,0896398616,1119.69
101,7,0898786879898,69.96
102,313,08alross,4130.66
103,41,0903512455,199.85
104,176,09106,1152.1
105,369,091263,3008.85
106,1,092688110,0.0
107,28,092982943,94.92999999999999
108,59,0935659130,466.76
109,89,094553552,689.55
110,30,095732,179.86
111,239,095843067,2645.61
112,12,098765432108642,179.91
113,25,09876543231,215.82999999999998
114,42,098766catdogbnmnnn,227.84
115,33,09895749373554,345.74
116,56,0996633,601.7
117,36,0FI3MWAJS2849023N,331.78
118,23,0fficiaIfIaw,38.97
119,22,0nlyb0nes,224.91
120,29,0rangeZ3r0,143.88
121,59,0x0B00B135,500.62
122,149,0x426F,1728.83
123,536,1-800-Invisible,5822.0
124,106,10000000thVisitor,1105.18
125,22,1000000sdsd,54.97
126,1,100002077293140,0.0
127,31,100011101011,347.84
128,50,1000jaus,642.64
